País de residencia;Tipo de dato;Periodo;Total
Reino Unido;Dato base;2018M08;2.248.604
Reino Unido;Dato base;2018M07;2.214.662
Reino Unido;Dato base;2018M06;2.173.824
Reino Unido;Dato base;2018M05;1.983.454
Reino Unido;Dato base;2018M04;1.422.435
Reino Unido;Dato base;2018M03;1.184.251
Reino Unido;Dato base;2018M02;863.704
Reino Unido;Dato base;2018M01;799.284
Rusia;Dato base;2022M12;""
Rusia;Dato base;2022M11;""
Rusia;Dato base;2022M10;""
Rusia;Dato base;2022M09;""
Rusia;Dato base;2022M08;""
Rusia;Dato base;2022M07;""
Rusia;Dato base;2022M06;""
Rusia;Dato base;2022M05;""
Rusia;Dato base;2022M04;""
Rusia;Dato base;2022M03;.
Rusia;Dato base;2022M02;12.965
Rusia;Dato base;2022M01;18.563
Rusia;Dato base;2021M12;15.886
Rusia;Dato base;2021M11;13.739
Rusia;Dato base;2021M10;20.385
Rusia;Dato base;2021M09;21.095
Rusia;Dato base;2021M08;14.802
Rusia;Dato base;2021M07;19.276
Rusia;Dato base;2021M06;11.480
Rusia;Dato base;2021M05;4.374
Rusia;Dato base;2021M04;.
Rusia;Dato base;2021M03;4.260
Rusia;Dato base;2021M02;2.532
Rusia;Dato base;2021M01;3.353
Rusia;Dato base;2020M12;3.882
Rusia;Dato base;2020M11;2.426
Rusia;Dato base;2020M10;4.563
Rusia;Dato base;2020M09;4.000
Rusia;Dato base;2020M08;.
Rusia;Dato base;2020M07;.
Rusia;Dato base;2020M06;.
Rusia;Dato base;2020M05;0
Rusia;Dato base;2020M04;0
Rusia;Dato base;2020M03;21.724
Rusia;Dato base;2020M02;46.340
Rusia;Dato base;2020M01;63.712
Rusia;Dato base;2019M12;52.703
Rusia;Dato base;2019M11;53.368
Rusia;Dato base;2019M10;104.958
Rusia;Dato base;2019M09;165.380
Rusia;Dato base;2019M08;177.019
Rusia;Dato base;2019M07;183.441
Rusia;Dato base;2019M06;182.043
Rusia;Dato base;2019M05;123.984
Rusia;Dato base;2019M04;83.726
Rusia;Dato base;2019M03;70.851
Rusia;Dato base;2019M02;49.956
Rusia;Dato base;2019M01;66.650
Rusia;Dato base;2018M12;60.591
Rusia;Dato base;2018M11;53.863
Rusia;Dato base;2018M10;90.668
Rusia;Dato base;2018M09;164.321
Rusia;Dato base;2018M08;176.076
Rusia;Dato base;2018M07;174.914
Rusia;Dato base;2018M06;170.552
Rusia;Dato base;2018M05;91.104
Rusia;Dato base;2018M04;73.575
Rusia;Dato base;2018M03;55.937
Rusia;Dato base;2018M02;47.935
Rusia;Dato base;2018M01;67.994
Suiza;Dato base;2022M12;75.126
Suiza;Dato base;2022M11;81.883
Suiza;Dato base;2022M10;222.471
Suiza;Dato base;2022M09;169.936
Suiza;Dato base;2022M08;168.263
Suiza;Dato base;2022M07;235.727
Suiza;Dato base;2022M06;153.173
Suiza;Dato base;2022M05;157.008
Suiza;Dato base;2022M04;177.137
Suiza;Dato base;2022M03;82.987
Suiza;Dato base;2022M02;70.929
Suiza;Dato base;2022M01;60.093
Suiza;Dato base;2021M12;59.506
Suiza;Dato base;2021M11;66.664
Suiza;Dato base;2021M10;188.883
Suiza;Dato base;2021M09;119.944
Suiza;Dato base;2021M08;143.186
Suiza;Dato base;2021M07;156.790
Suiza;Dato base;2021M06;73.006
Suiza;Dato base;2021M05;64.866
Suiza;Dato base;2021M04;38.362
Suiza;Dato base;2021M03;12.352
Suiza;Dato base;2021M02;6.673
Suiza;Dato base;2021M01;15.477
Suiza;Dato base;2020M12;17.206
Suiza;Dato base;2020M11;12.990
Suiza;Dato base;2020M10;15.290
Suiza;Dato base;2020M09;17.860
Suiza;Dato base;2020M08;47.293
Suiza;Dato base;2020M07;82.714
Suiza;Dato base;2020M06;3.970
Suiza;Dato base;2020M05;0
Suiza;Dato base;2020M04;0
Suiza;Dato base;2020M03;37.985
Suiza;Dato base;2020M02;85.426
Suiza;Dato base;2020M01;76.339
Suiza;Dato base;2019M12;88.968
Suiza;Dato base;2019M11;91.331
Suiza;Dato base;2019M10;210.047
Suiza;Dato base;2019M09;199.550
Suiza;Dato base;2019M08;196.316
Suiza;Dato base;2019M07;247.378
Suiza;Dato base;2019M06;190.718
Suiza;Dato base;2019M05;131.098
Suiza;Dato base;2019M04;175.457
Suiza;Dato base;2019M03;114.059
Suiza;Dato base;2019M02;88.945
Suiza;Dato base;2019M01;78.000
Suiza;Dato base;2018M12;96.415
Suiza;Dato base;2018M11;106.684
Suiza;Dato base;2018M10;200.112
Suiza;Dato base;2018M09;211.919
Suiza;Dato base;2018M08;179.311
Suiza;Dato base;2018M07;273.581
Suiza;Dato base;2018M06;159.264
Suiza;Dato base;2018M05;191.905
Suiza;Dato base;2018M04;176.900
Suiza;Dato base;2018M03;108.945
Suiza;Dato base;2018M02;85.915
Suiza;Dato base;2018M01;92.196
Estados Unidos de América;Dato base;2022M12;171.374
Estados Unidos de América;Dato base;2022M11;200.787
Estados Unidos de América;Dato base;2022M10;316.276
Estados Unidos de América;Dato base;2022M09;337.593
Estados Unidos de América;Dato base;2022M08;223.790
Estados Unidos de América;Dato base;2022M07;364.025
Estados Unidos de América;Dato base;2022M06;385.447
Estados Unidos de América;Dato base;2022M05;314.776
Estados Unidos de América;Dato base;2022M04;198.897
Estados Unidos de América;Dato base;2022M03;150.458
Estados Unidos de América;Dato base;2022M02;69.157
Estados Unidos de América;Dato base;2022M01;68.894
Estados Unidos de América;Dato base;2021M12;97.848
Estados Unidos de América;Dato base;2021M11;109.874
Estados Unidos de América;Dato base;2021M10;131.656
Estados Unidos de América;Dato base;2021M09;140.884
Estados Unidos de América;Dato base;2021M08;113.549
Estados Unidos de América;Dato base;2021M07;121.228
Estados Unidos de América;Dato base;2021M06;41.616
Estados Unidos de América;Dato base;2021M05;14.769
Estados Unidos de América;Dato base;2021M04;7.726
Estados Unidos de América;Dato base;2021M03;7.188
Estados Unidos de América;Dato base;2021M02;5.417
Estados Unidos de América;Dato base;2021M01;6.087
Estados Unidos de América;Dato base;2020M12;7.150
Estados Unidos de América;Dato base;2020M11;4.752
Estados Unidos de América;Dato base;2020M10;8.450
Estados Unidos de América;Dato base;2020M09;9.849
Estados Unidos de América;Dato base;2020M08;12.656
Estados Unidos de América;Dato base;2020M07;15.117
Estados Unidos de América;Dato base;2020M06;.
Estados Unidos de América;Dato base;2020M05;0
